WorldX,WorldZ,AnalyticGrad,FDGrad,AnalyticHess,FDHess
-0.244949,-0.234848,-0.443332,-0.437848,8.57786,11.228
-0.239899,-0.234848,-0.412662,-0.409156,5.80538,7.0557
-0.234848,-0.234848,-0.354332,-0.350922,5.45308,7.1153
-0.229798,-0.234848,-0.414739,-0.411127,5.91581,7.17491
-0.224747,-0.234848,-0.375182,-0.372052,5.31652,6.40005
-0.219697,-0.234848,-0.368842,-0.366632,3.75494,4.62681
-0.214646,-0.234848,-0.367954,-0.365466,4.57863,5.04032
-0.209596,-0.234848,-0.379848,-0.377696,3.7103,4.47407
-0.204545,-0.234848,-0.382644,-0.38065,3.66412,4.17978
-0.199495,-0.234848,-0.415666,-0.414234,2.74081,3.09199
-0.194444,-0.234848,-0.411606,-0.410058,2.97594,3.28571
-0.189394,-0.234848,-0.441335,-0.440091,2.41631,2.75671
-0.184343,-0.234848,-0.458949,-0.457637,2.59881,2.68221
-0.179293,-0.234848,-0.48937,-0.487838,2.8914,3.34158
-0.174242,-0.234848,-0.548206,-0.547037,2.2434,2.47359
-0.169192,-0.234848,-0.56815,-0.566781,2.4035,2.86847
-0.164141,-0.234848,-0.627349,-0.626549,1.56838,1.8999
-0.159091,-0.234848,-0.654574,-0.653699,1.92597,2.10851
-0.15404,-0.234848,-0.677459,-0.676311,2.21337,2.51085
-0.14899,-0.234848,-0.678332,-0.677928,0.73127,1.13249
-0.143939,-0.234848,-0.700506,-0.699766,1.24906,1.61678
-0.138889,-0.234848,-0.735761,-0.735715,0.452278,0.365078
-0.133838,-0.234848,-0.723515,-0.722796,1.22266,1.55717
-0.128788,-0.234848,-0.792103,-0.791646,0.872937,0.998378
-0.123737,-0.234848,-0.786638,-0.78655,0.802757,0.521541
-0.118687,-0.234848,-0.814819,-0.814423,0.785774,0.953674
-0.113636,-0.234848,-0.817222,-0.81671,1.0962,1.40071
-0.108586,-0.234848,-0.88755,-0.886708,1.41094,2.02656
-0.103535,-0.234848,-0.894935,-0.893727,2.26937,2.74926
-0.0984849,-0.234848,-0.886081,-0.885338,1.60931,1.77324
-0.0934343,-0.234848,-0.899389,-0.897985,2.76614,3.09944
-0.0883838,-0.234848,-0.891104,-0.889707,2.68547,2.96161
-0.0833333,-0.234848,-0.928156,-0.92645,3.31264,3.74764
-0.0782828,-0.234848,-0.966572,-0.965163,2.72231,3.03984
-0.0732323,-0.234848,-1.06184,-1.06019,3.28912,3.5502
-0.0681818,-0.234848,-1.04206,-1.0404,3.25981,3.56883
-0.0631313,-0.234848,-1.03568,-1.03396,3.33067,3.58745
-0.0580808,-0.234848,-1.0858,-1.08371,4.13891,4.49642
-0.0530303,-0.234848,-1.15156,-1.14915,4.8923,5.1558
-0.0479798,-0.234848,-1.17082,-1.16821,5.05631,5.41657
-0.0429293,-0.234848,-1.13634,-1.13368,5.26526,5.55627
-0.0378788,-0.234848,-1.14038,-1.13732,6.04162,6.32368
-0.0328283,-0.234848,-1.18799,-1.18493,6.0131,6.34789
-0.0277778,-0.234848,-1.19068,-1.18736,6.52242,6.89458
-0.0227273,-0.234848,-1.16707,-1.16316,7.56716,8.06153
-0.0176768,-0.234848,-1.18313,-1.17915,7.72248,8.18167
